name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Rayán,22.55126585,75.51701147788856,Madhya Pradesh,IN,Clouds,broken clouds,2024-03-26 20:13:23,Muaither SC
No data,No data,No data,No data,No data,No data,No data,No data,Fenerbahce
No data,No data,No data,No data,No data,No data,No data,No data,Qatar SC
Esmirna,No data,No data,No data,No data,No data,No data,No data,Altay SK
Herning,56.1379757,8.9746623,Central Denmark Region,DK,Clouds,overcast clouds,2024-03-26 20:13:24,FC Midtjylland
Salvador de Bahía,-12.9822499,-38.4812772,Bahia,BR,Clouds,scattered clouds,2024-03-26 20:10:09,Esporte Clube Bahia
Las Piedras,-34.7274904,-56.2164982,Canelones,UY,Clouds,overcast clouds,2024-03-26 20:08:58,CA Boston River
Valenciennes,50.3579317,3.5234846,Hauts-de-France,FR,Clouds,overcast clouds,2024-03-26 20:06:33,Valenciennes FC
Reims,49.2577886,4.031926,Grand Est,FR,Clouds,broken clouds,2024-03-26 20:13:28,Stade Reims
No data,No data,No data,No data,No data,No data,No data,No data,Fortuna Sittard
Vila Nova de Famalicão,No data,No data,No data,No data,No data,No data,No data,FC Famalicão
Samsun,No data,No data,No data,No data,No data,No data,No data,Samsunspor
Fort Lauderdale,26.1223084,-80.1433786,Florida,US,Clouds,broken clouds,2024-03-26 20:09:21,Inter Miami CF
Casablanca,No data,No data,No data,No data,No data,No data,No data,Raja Club Athletic
Guido y Spano 1053Victoria,No data,No data,No data,No data,No data,No data,No data,Club Atlético Tigre
Lisboa,No data,No data,No data,No data,No data,No data,No data,Sporting CP
Curitiba,-25.4295963,-49.2712724,Paraná,BR,Clouds,few clouds,2024-03-26 20:13:30,Coritiba Foot Ball Club
Valencia,39.4697065,-0.3763353,Valencian Community,ES,Clouds,few clouds,2024-03-26 20:13:31,Levante UD
Génova,44.40726,8.9338624,Liguria,IT,Clouds,broken clouds,2024-03-26 20:15:50,UC Sampdoria
Carrera 74 # 48-21Medellín,No data,No data,No data,No data,No data,No data,No data,Atlético Nacional
Almería,36.8414197,-2.4628135,Andalusia,ES,Clear,clear sky,2024-03-26 20:15:51,UD Almería
Frisco,33.1506744,-96.8236116,Texas,US,Clear,clear sky,2024-03-26 20:15:23,FC Dallas
Salerno,40.6803601,14.7594542,Campania,IT,Clouds,overcast clouds,2024-03-26 20:13:35,US Salernitana 1919
Strobelalee,No data,No data,No data,No data,No data,No data,No data,Borussia Dortmund
Túnez,36.8002068,10.1857757,Tunis,TN,Clouds,scattered clouds,2024-03-26 20:13:36,Esperance Tunis
Susa,45.1372115,7.0539789,Piedmont,IT,Clouds,overcast clouds,2024-03-26 20:15:55,Etoile Sportive du Sahel
8 Mediteranskih Igara 2,No data,No data,No data,No data,No data,No data,No data,HNK Hajduk Split
Piazzale Grande Torino 10136,No data,No data,No data,No data,No data,No data,No data,Torino FC
São Paulo,-23.5506507,-46.6333824,São Paulo,BR,Drizzle,light intensity drizzle,2024-03-26 20:13:57,São Paulo Futebol Clube
Craiova,No data,No data,No data,No data,No data,No data,No data,FC U Craiova 1948
Leverkusen,51.0324743,6.9881194,North Rhine-Westphalia,DE,Clouds,overcast clouds,2024-03-26 20:13:38,Bayer 04 Leverkusen
París,48.8588897,2.3200410217200766,Ile-de-France,FR,Rain,light rain,2024-03-26 20:08:17,Paris Saint-Germain
Túnez,36.8002068,10.1857757,Tunis,TN,Clouds,scattered clouds,2024-03-26 20:13:36,Esperance Tunis
Lezama(Vizcaya,No data,No data,No data,No data,No data,No data,No data,Athletic Bilbao
Lyngby,55.7718649,12.5051413,Capital Region of Denmark,DK,Clouds,overcast clouds,2024-03-26 20:09:02,Lyngby BK
Balcarce 477,No data,No data,No data,No data,No data,No data,No data,CD Godoy Cruz Antonio Tomba
C/ Pintor Manuel Maldonado s/nGranada,No data,No data,No data,No data,No data,No data,No data,Granada CF
Britannia RdSouthampton(Coord.50°54′21″N1°23′28″O﻿ / ﻿50.905833,No data,No data,No data,No data,No data,No data,No data,Southampton FC
Arouca,No data,No data,No data,No data,No data,No data,No data,FC Arouca
Tesalónica,40.6403167,22.9352716,Macedonia and Thrace,GR,Clouds,overcast clouds,2024-03-26 20:13:42,Aris Thessaloniki
Londres(Coord.51°29′11″N0°02′11″E﻿ / ﻿51.486389,No data,No data,No data,No data,No data,No data,No data,Charlton Athletic
Avda. Juan B. Justo9200,No data,No data,No data,No data,No data,No data,No data,CA Vélez Sarsfield
Berlín,No data,No data,No data,No data,No data,No data,No data,1.FC Union Berlin
Grünwalder Str. 4,No data,No data,No data,No data,No data,No data,No data,FC Bayern Munich II
subsuelo,No data,No data,No data,No data,No data,No data,No data,GNK Dinamo Zagreb
Roma,41.8933203,12.4829321,Lazio,IT,Clouds,scattered clouds,2024-03-26 20:03:06,AS Roma
Drammen,No data,No data,No data,No data,No data,No data,No data,Strømsgodset IF
Limassol,34.6852901,33.0332657,South Cyprus,CY,Rain,light rain,2024-03-26 20:07:14,Apollon Limassol
Fráncfort,50.1106444,8.6820917,Hesse,DE,Clear,clear sky,2024-03-26 20:13:44,Eintracht Frankfurt
No data,No data,No data,No data,No data,No data,No data,No data,Olympique Marseille
Heraklion,35.3400127,25.1343475,Region of Crete,GR,Clouds,broken clouds,2024-03-26 20:13:45,OFI Crete FC
Avenue Simone Veil,No data,No data,No data,No data,No data,No data,No data,Olympique Lyon
Ismailia,30.6043775,32.2770825,Al Ismailiya,EG,Clouds,overcast clouds,2024-03-26 20:13:46,Ismaily SC
Almería,36.8414197,-2.4628135,Andalusia,ES,Clear,clear sky,2024-03-26 20:13:33,UD Almería
Tromsø,No data,No data,No data,No data,No data,No data,No data,Tromsø IL
Groninga,53.2190652,6.5680077,Groningen,NL,Clouds,overcast clouds,2024-03-26 20:13:47,FC Groningen
Av. Amancio Alcorta 2570,No data,No data,No data,No data,No data,No data,No data,CA Huracán
Malmö,No data,No data,No data,No data,No data,No data,No data,Malmö FF
Zagreb,No data,No data,No data,No data,No data,No data,No data,NK Rudes
Niza,43.7009358,7.2683912,Provence-Alpes-Côte d'Azur,FR,Rain,light rain,2024-03-26 20:16:08,OGC Nice
Alkmaar,52.600853799999996,4.817099446443963,North Holland,NL,Clouds,overcast clouds,2024-03-26 20:13:49,AZ Alkmaar
Serres,48.6911344,6.4642569,Grand Est,FR,Clouds,overcast clouds,2024-03-26 20:13:50,Panserraikos
Arouca,No data,No data,No data,No data,No data,No data,No data,FC Arouca
Hull,53.7435722,-0.3394758,England,GB,Rain,light rain,2024-03-26 20:13:50,Hull City
Palma de Mallorca,39.5695818,2.6500745,Balearic Islands,ES,Clouds,broken clouds,2024-03-26 20:13:51,RCD Mallorca
No data,No data,No data,No data,No data,No data,No data,No data,Olympique Marseille
Estoril,-20.8349609,-49.38178455720198,São Paulo,BR,Clouds,overcast clouds,2024-03-26 20:13:52,GD Estoril Praia
Istanbul,No data,No data,No data,No data,No data,No data,No data,Eyüpspor
Le Bouscat,44.8661755,-0.5992399,Nouvelle-Aquitaine,FR,Rain,light rain,2024-03-26 20:13:53,FC Girondins Bordeaux
Curitiba,-25.4295963,-49.2712724,Paraná,BR,Clouds,few clouds,2024-03-26 20:13:30,Coritiba Foot Ball Club
Medellín,6.2443382,-75.573553,Antioquia,CO,Clouds,scattered clouds,2024-03-26 20:15:48,Independiente Medellín
Belouizdad,36.7442413,3.0783959,Algiers,DZ,Clouds,scattered clouds,2024-03-26 20:13:55,CR Belouizdad
Montevideo,-34.9058916,-56.1913095,Montevideo,UY,Clear,clear sky,2024-03-26 20:13:23,Danubio FC
Túnez,36.8002068,10.1857757,Tunis,TN,Clouds,scattered clouds,2024-03-26 20:13:36,Esperance Tunis
Praga,50.0874654,14.4212535,Prague,CZ,Clear,clear sky,2024-03-26 20:16:20,SK Slavia Prague
Magdeburgo,52.1315889,11.6399609,Saxony-Anhalt,DE,Clouds,scattered clouds,2024-03-26 20:13:58,1.FC Magdeburg
